mapping_type	predicate	biolink_predicate	object_aspect_qualifier	object direction qualifier	qualified_predicate
narrow	SNOMED:has_scale_type	biolink:has_attribute			
narrow	SNOMED:has_finding_informer	biolink:has_attribute			
narrow	LOINC:has_action_guidance	biolink:has_attribute			
narrow	LOINC:has_object_guidance	biolink:has_attribute			
narrow	LOINC:has_method	biolink:has_attribute			
narrow	HANCESTRO:0301	biolink:has_attribute			
narrow	UMLS:has_structural_class	biolink:has_attribute			
narrow	SNOMED:has_property	biolink:has_attribute			
narrow	SNOMED:has_procedure_context	biolink:has_attribute			
narrow	NCIT:has_pharmaceutical_state_of_matter	biolink:has_attribute			
narrow	RO:0000053	biolink:has_attribute			
narrow	SNOMED:has_state_of_matter	biolink:has_attribute			
narrow	LOINC:has_adjustment	biolink:has_attribute			
narrow	NCIT:qualifier_applies_to	biolink:has_attribute			
narrow	NCIT:is_qualified_by	biolink:has_attribute			
narrow	NCIT:R88	biolink:has_attribute			
narrow	DRUGBANK:category	biolink:has_attribute			
narrow	LOINC:has_aggregation_view	biolink:has_attribute			
narrow	SNOMED:has_laterality	biolink:has_attribute			
narrow	SNOMED:has_time_aspect	biolink:has_attribute			
narrow	NCIT:has_pharmaceutical_transformation	biolink:has_attribute			
narrow	LOINC:has_timing_of	biolink:has_attribute			
narrow	SNOMED:has_specimen	biolink:has_attribute			
narrow	UMLS:has_supported_concept_property	biolink:has_attribute			
narrow	HANCESTRO:0308	biolink:has_attribute			
narrow	SNOMED:has_priority	biolink:has_attribute			
narrow	SNOMED:has_process_duration	biolink:has_attribute			
narrow	SNOMED:has_surgical_approach	biolink:has_attribute			
narrow	SNOMED:has_units	biolink:has_attribute			
narrow	RO:0000087	biolink:has_attribute			
narrow	UMLS:may_be_qualified_by	biolink:has_attribute			
narrow	OBAN:association_has_subject_property	biolink:has_attribute			
narrow	INO:0000154	biolink:has_attribute			
narrow	SNOMED:has_technique	biolink:has_attribute			
narrow	SNOMED:has_intent	biolink:has_attribute			
narrow	SNOMED:has_access	biolink:has_attribute			
narrow	NCIT:role_has_domain	biolink:has_attribute			
narrow	NCIT:eo_disease_has_property_or_attribute	biolink:has_attribute			
narrow	NCIT:has_pharmaceutical_intended_site	biolink:has_attribute			
narrow	NCIT:has_pharmaceutical_basic_dose_form	biolink:has_attribute			
narrow	LOINC:has_modality_type	biolink:has_attribute_type			
narrow	LOINC:has_view_type	biolink:has_attribute_type			
exact	qud:quantityValue	biolink:has_quantitative_value			
narrow	SNOMED:has_concentration_strength_numerator_value	biolink:has_quantitative_value			
narrow	SNOMED:has_presentation_strength_denominator_value	biolink:has_quantitative_value			
narrow	SNOMED:has_presentation_strength_numerator_value	biolink:has_quantitative_value			
exact	qud:quantityValue	biolink:has_numeric_value			
exact	qud:unit	biolink:has_unit			
exact	IAO:0000039	biolink:has_unit			
close	EFO:0001697	biolink:has_unit			
close	UO-PROPERTY:is_unit_of	biolink:has_unit			
narrow	SNOMED:has_unit_of_presentation	biolink:has_unit			
narrow	SNOMED:has_presentation_strength_denominator_unit	biolink:has_unit			
narrow	SNOMED:has_concentration_strength_denominator_unit	biolink:has_unit			
narrow	SNOMED:has_presentation_strength_numerator_unit	biolink:has_unit			
narrow	SNOMED:has_concentration_strength_numerator_unit	biolink:has_unit			
exact	AGRKB:primaryId	biolink:id			
exact	gff3:ID	biolink:id			
exact	gpi:DB_Object_ID	biolink:id			
exact	WIKIDATA_PROPERTY:P854	biolink:iri			
exact	AGRKB:soTermId	biolink:type			
exact	gff3:type	biolink:type			
exact	gpi:DB_Object_Type	biolink:type			
exact	gff3:Name	biolink:name			
exact	gpi:DB_Object_Name	biolink:name			
narrow	dct:title	biolink:name			
narrow	WIKIDATA_PROPERTY:P1476	biolink:name			
narrow	NCIT:C42677	biolink:reaction_direction			
exact	AGRKB:symbol	biolink:symbol			
exact	gpi:DB_Object_Symbol	biolink:symbol			
narrow	gff3:Alias	biolink:synonym			
narrow	HANCESTRO:0330	biolink:synonym			
narrow	AGRKB:synonyms	biolink:synonym			
narrow	IAO:0000136	biolink:synonym			
narrow	skos:altLabel	biolink:synonym			
narrow	RXNORM:has_tradename	biolink:synonym			
narrow	gpi:DB_Object_Synonyms	biolink:synonym			
exact	oboInOwl:hasExactSynonym	biolink:exact_synonym			
exact	oboInOwl:hasBroadSynonym	biolink:broad_synonym			
exact	oboInOwl:hasNarrowSynonym	biolink:narrow_synonym			
exact	oboInOwl:hasRelatedSynonym	biolink:related_synonym			
exact	foaf:topic	biolink:has_topic			
narrow	gff3:Dbxref	biolink:xref			
narrow	gpi:DB_Xrefs	biolink:xref			
exact	IAO:0000115	biolink:description			
exact	skos:definitions	biolink:description			
narrow	gff3:Description	biolink:description			
exact	wgs:lat	biolink:latitude			
exact	wgs:long	biolink:longitude			
exact	dct:createdOn	biolink:creation_date			
exact	WIKIDATA_PROPERTY:P577	biolink:creation_date			
exact	LOINC:has_count	biolink:has_count			
broad	dct:source	biolink:has_dataset			
broad	dct:source	biolink:source_web_page			
exact	pav:retrievedOn	biolink:retrieved_on			
exact	dct:isVersionOf	biolink:version_of			
broad	pav:version	biolink:version			
broad	owl:versionInfo	biolink:version			
exact	dct:license	biolink:license			
narrow	WIKIDATA_PROPERTY:P275	biolink:license			
exact	dct:rights	biolink:rights			
exact	dct:format	biolink:format			
exact	WIKIDATA_PROPERTY:P2701	biolink:format			
exact	pav:createdWith	biolink:created_with			
exact	dcat:downloadURL	biolink:distribution_download_url			
broad	dct:issued	biolink:ingest_date			
exact	WIKIDATA_PROPERTY:P1433	biolink:published_in			
exact	WIKIDATA_PROPERTY:P1160	biolink:iso_abbreviation			
exact	WIKIDATA_PROPERTY:P478	biolink:volume			
exact	WIKIDATA:Q1980247	biolink:chapter			
exact	WIKIDATA_PROPERTY:P433	biolink:issue			
exact	WIKIDATA_PROPERTY:P304	biolink:pages			
exact	dct:abstract	biolink:summary			
exact	WIKIDATA:Q333291	biolink:summary			
exact	dcid:MeSHTerm	biolink:mesh_terms			
exact	WIKIDATA_PROPERTY:P274	biolink:has_chemical_formula			
exact	CHEBI:25212	biolink:is_metabolite			
exact	ExO:0000001	biolink:has_receptor			
exact	ExO:0000000	biolink:has_stressor			
exact	ExO:0000055	biolink:has_route			
narrow	LOINC:has_pharmaceutical_route	biolink:has_route			
narrow	SNOMED:has_dose_form_intended_site	biolink:has_route			
narrow	SNOMED:has_route_of_administration	biolink:has_route			
exact	NCIT:C172573	biolink:drug_regulatory_status_world_wide			
narrow	REPODB:clinically_tested_suspended_phase_3	biolink:drug_regulatory_status_world_wide			
narrow	REPODB:clinically_tested_suspended_phase_1	biolink:drug_regulatory_status_world_wide			
narrow	REPODB:clinically_tested_terminated_phase_1_or_phase_2	biolink:drug_regulatory_status_world_wide			
narrow	REPODB:clinically_tested_withdrawn_phase_3	biolink:drug_regulatory_status_world_wide			
narrow	REPODB:clinically_tested_suspended_phase_2_or_phase_3	biolink:drug_regulatory_status_world_wide			
narrow	REPODB:clinically_tested_withdrawn_phase_2_or_phase_3	biolink:drug_regulatory_status_world_wide			
narrow	REPODB:clinically_tested_suspended_phase_0	biolink:drug_regulatory_status_world_wide			
narrow	REPODB:clinically_tested_suspended_phase_1_or_phase_2	biolink:drug_regulatory_status_world_wide			
narrow	REPODB:clinically_tested_withdrawn_phase_1	biolink:drug_regulatory_status_world_wide			
narrow	REPODB:clinically_tested_withdrawn_phase_0	biolink:drug_regulatory_status_world_wide			
narrow	REPODB:clinically_tested_terminated_phase_1	biolink:drug_regulatory_status_world_wide			
narrow	REPODB:clinically_tested_suspended_phase_2	biolink:drug_regulatory_status_world_wide			
narrow	REPODB:clinically_tested_withdrawn_phase_2	biolink:drug_regulatory_status_world_wide			
narrow	REPODB:clinically_tested_terminated_phase_3	biolink:drug_regulatory_status_world_wide			
narrow	NCIT:R172	biolink:drug_regulatory_status_world_wide			
narrow	REPODB:clinically_tested_terminated_phase_0	biolink:drug_regulatory_status_world_wide			
narrow	REPODB:clinically_tested_approved_unknown_phase	biolink:drug_regulatory_status_world_wide			
narrow	REPODB:clinically_tested_terminated_phase_2_or_phase_3	biolink:drug_regulatory_status_world_wide			
narrow	REPODB:clinically_tested_terminated_phase_2	biolink:drug_regulatory_status_world_wide			
narrow	REPODB:clinically_tested_withdrawn_phase_1_or_phase_2	biolink:drug_regulatory_status_world_wide			
narrow	NCIT:regimen_has_accepted_use_for_disease	biolink:drug_regulatory_status_world_wide			
narrow	UMLS:measures	biolink:quantifier_qualifier			
narrow	SEMMEDDB:MEASURES	biolink:quantifier_qualifier			
narrow	LOINC:analyzes	biolink:quantifier_qualifier			
narrow	LOINC:measured_by	biolink:quantifier_qualifier			
narrow	LOINC:property_of	biolink:quantifier_qualifier			
exact	skos:relatedMatch	biolink:related_to			
exact	UMLS:related_to	biolink:related_to			
exact	SEMMEDDB:ASSOCIATED_WITH	biolink:related_to			
exact	SEMMEDDB:ADMINISTERED_TO	biolink:related_to			
broad	owl:topObjectProperty	biolink:related_to			
narrow	LOINC:mth_has_expanded_form	biolink:related_to			
narrow	BTO:related_to	biolink:related_to			
narrow	GOREL:0012006	biolink:related_to			
narrow	FMA:connected_to	biolink:related_to			
narrow	RO:0004027	biolink:related_to			
narrow	MESH:mapped_to	biolink:related_to			
narrow	BFO:0000054	biolink:related_to			
narrow	RXNORM:reformulated_to	biolink:related_to			
narrow	SNOMED:has_specimen_source_morphology	biolink:related_to			
narrow	RO:0002373	biolink:related_to			
narrow	LOINC:has_answer	biolink:related_to			
narrow	SNOMED:has_associated_procedure	biolink:related_to			
narrow	GOREL:0002005	biolink:related_to			
narrow	RO:0002134	biolink:related_to			
narrow	CPT:has_add_on_code	biolink:related_to			
narrow	SNOMED:has_procedure_morphology	biolink:related_to			
narrow	UMLS:has_mapping_qualifier	biolink:related_to			
narrow	RO:0002179	biolink:related_to			
narrow	RO:0002356	biolink:related_to			
narrow	RO:0002342	biolink:related_to			
narrow	PATO:reciprocal_of	biolink:related_to			
narrow	RO:0002084	biolink:related_to			
narrow	RO:0009001	biolink:related_to			
narrow	SNOMED:has_direct_morphology	biolink:related_to			
narrow	NBO-PROPERTY:is_about	biolink:related_to			
narrow	RO:0002573	biolink:related_to			
narrow	SNOMED:has_modification	biolink:related_to			
narrow	NCIT:is_related_to_endogenous_product	biolink:related_to			
narrow	RO:0002495	biolink:related_to			
narrow	RO:0002092	biolink:related_to			
narrow	MESH:RO	biolink:related_to			
narrow	RO:0002001	biolink:related_to			
narrow	UMLS:owning_section_of	biolink:related_to			
narrow	SNOMED:relative_to_part_of	biolink:related_to			
narrow	RO:0002008	biolink:related_to			
narrow	SEMMEDDB:compared_with	biolink:related_to			
narrow	UBERON_CORE:protects	biolink:related_to			
narrow	UBERON_NONAMESPACE:innervated_by	biolink:related_to			
narrow	FMA:homonym_of	biolink:related_to			
narrow	RO:0002176	biolink:related_to			
narrow	RO:0002348	biolink:related_to			
narrow	LOINC:has_challenge	biolink:related_to			
narrow	UMLS:RQ	biolink:related_to			
narrow	SNOMED:inheres_in	biolink:related_to			
narrow	MESH:has_mapping_qualifier	biolink:related_to			
narrow	SEMMEDDB:lower_than	biolink:related_to			
narrow	RO:0002332	biolink:related_to			
narrow	RO:0002178	biolink:related_to			
narrow	NCIT:disease_may_have_associated_disease	biolink:related_to			
narrow	RO:0000053	biolink:related_to			
narrow	SNOMED:has_disposition	biolink:related_to			
narrow	RO:0002451	biolink:related_to			
narrow	SNOMED:is_interpreted_by	biolink:related_to			
narrow	UMLS:has_form	biolink:related_to			
narrow	UMLS:RO	biolink:related_to			
narrow	RO:0002328	biolink:related_to			
narrow	MONDO:disease_shares_features_of	biolink:related_to			
narrow	FMA:continuous_with	biolink:related_to			
narrow	UMLS:has_context_binding	biolink:related_to			
narrow	RXNORM:has_form	biolink:related_to			
narrow	RO:0002093	biolink:related_to			
narrow	RO:0002339	biolink:related_to			
narrow	RO:0002372	biolink:related_to			
narrow	RO:0002387	biolink:related_to			
narrow	FMA:related_developmental_entity_of	biolink:related_to			
narrow	RO:0002002	biolink:related_to			
narrow	HMDB:has_protein_association	biolink:related_to			
narrow	RO:0002344	biolink:related_to			
narrow	UMLS:mapped_to	biolink:related_to			
narrow	HMDB:disease	biolink:related_to			
narrow	NCIT:is_abnormal_cell_of_disease	biolink:related_to			
narrow	RO:0002177	biolink:related_to			
narrow	HCPCS:mapped_to	biolink:related_to			
narrow	CHEBI:is_conjugate_acid_of	biolink:related_to			
narrow	UBERON:synapsed_by	biolink:related_to			
narrow	UMLS:class_code_classified_by	biolink:related_to			
narrow	CPT:mapped_to	biolink:related_to			
narrow	RO:0002338	biolink:related_to			
narrow	LOINC:has_evaluation	biolink:related_to			
narrow	LOINC:mapped_to	biolink:related_to			
narrow	NCIT:human_disease_maps_to_eo_disease	biolink:related_to			
narrow	RO:0009004	biolink:related_to			
narrow	RO:0002150	biolink:related_to			
narrow	RO:0002385	biolink:related_to			
narrow	RO:0000052	biolink:related_to			
narrow	UMLS:larger_than	biolink:related_to			
narrow	CHEBI:is_conjugate_base_of	biolink:related_to			
narrow	IAO:0000136	biolink:related_to			
narrow	RO:0002374	biolink:related_to			
narrow	RO:0002003	biolink:related_to			
narrow	RO:0002314	biolink:related_to			
narrow	RO:0002322	biolink:related_to			
narrow	RO:0002349	biolink:related_to			
narrow	RO:0002494	biolink:related_to			
narrow	SNOMED:has_associated_morphology	biolink:related_to			
narrow	RO:0002159	biolink:related_to			
narrow	EFO:0006351	biolink:related_to			
narrow	SNOMED:has_indirect_morphology	biolink:related_to			
narrow	UBERON_NONAMESPACE:connected_to	biolink:related_to			
narrow	RO:0004026	biolink:related_to			
narrow	SEMMEDDB:higher_than	biolink:related_to			
narrow	RO:0002568	biolink:related_to			
narrow	UMLS:exhibited_by	biolink:related_to			
narrow	RO:0002371	biolink:related_to			
narrow	RO:0002341	biolink:related_to			
narrow	RO:0004029	biolink:associated_with			
narrow	SNOMEDCT:47429007	biolink:associated_with			
exact	MESH:inverse_isa	biolink:superclass_of			
exact	WIKIDATA:Q66088480	biolink:superclass_of			
exact	RXNORM:inverse_isa	biolink:superclass_of			
exact	CHEMBL.MECHANISM:superset_of	biolink:superclass_of			
exact	VANDF:inverse_isa	biolink:superclass_of			
exact	GO:inverse_isa	biolink:superclass_of			
narrow	NCIT:ctcae_5_parent_of	biolink:superclass_of			
narrow	OMIM:has_manifestation	biolink:superclass_of			
narrow	NCIT:subset_includes_concept	biolink:superclass_of			
narrow	SNOMED:has_basic_dose_form	biolink:superclass_of			
narrow	UMLS:RB	biolink:superclass_of			
narrow	NCIT:cdrh_parent_of	biolink:superclass_of			
exact	MESH:isa	biolink:subclass_of			
exact	WIKIDATA_PROPERTY:P279	biolink:subclass_of			
exact	GO:isa	biolink:subclass_of			
exact	RXNORM:isa	biolink:subclass_of			
exact	CHEMBL.MECHANISM:subset_of	biolink:subclass_of			
exact	VANDF:isa	biolink:subclass_of			
exact	SEMMEDDB:ISA	biolink:subclass_of			
exact	rdfs:subClassOf	biolink:subclass_of			
close	LOINC:class_of	biolink:subclass_of			
close	LOINC:has_class	biolink:subclass_of			
narrow	NCIT:R36	biolink:subclass_of			
narrow	rdfs:subPropertyOf	biolink:subclass_of			
narrow	NCIT:R42	biolink:subclass_of			
narrow	LOINC:has_archetype	biolink:subclass_of			
narrow	NCIT:gene_product_has_chemical_classification	biolink:subclass_of			
narrow	SNOMED:entire_anatomy_structure_of	biolink:subclass_of			
narrow	SNOMED:has_dose_form	biolink:subclass_of			
narrow	RXNORM:has_dose_form	biolink:subclass_of			
narrow	RXNORM:has_doseformgroup	biolink:subclass_of			
narrow	CHEBI:has_parent_hydride	biolink:subclass_of			
narrow	NCIT:A14	biolink:subclass_of			
narrow	NDDF:has_dose_form	biolink:subclass_of			
narrow	LOINC:is_presence_guidance_for	biolink:subclass_of			
narrow	NCIT:A11	biolink:subclass_of			
narrow	NCIT:A16	biolink:subclass_of			
narrow	LOINC:has_parent_group	biolink:subclass_of			
narrow	NCIT:A3	biolink:subclass_of			
exact	WIKIDATA_PROPERTY:P2888	biolink:same_as			
exact	CHEMBL.MECHANISM:equivalent_to	biolink:same_as			
exact	MONDO:equivalentTo	biolink:same_as			
exact	skos:exactMatch	biolink:same_as			
exact	owl:sameAs	biolink:same_as			
close	owl:equivalentClass	biolink:same_as			
narrow	DRUGBANK:external-identifier	biolink:same_as			
exact	skos:closeMatch	biolink:close_match			
exact	SEMMEDDB:same_as	biolink:close_match			
narrow	MEDDRA:classified_as	biolink:close_match			
narrow	CHEBI:is_tautomer_of	biolink:close_match			
narrow	RXNORM:has_quantified_form	biolink:close_match			
narrow	oboInOwl:hasDbXref	biolink:close_match			
narrow	CHEBI:is_enantiomer_of	biolink:close_match			
narrow	UMLS:SY	biolink:close_match			
exact	skos:exactMatch	biolink:exact_match			
exact	WIKIDATA:Q39893449	biolink:exact_match			
exact	WIKIDATA:P2888	biolink:exact_match			
exact	skos:broadMatch	biolink:broad_match			
exact	WIKIDATA:Q39894595	biolink:broad_match			
exact	skos:narrowMatch	biolink:narrow_match			
exact	WIKIDATA:Q39893967	biolink:narrow_match			
exact	RO:0002350	biolink:member_of			
close	skos:member	biolink:member_of			
exact	RO:0002351	biolink:has_member			
exact	skos:member	biolink:has_member			
exact	RO:0002604	biolink:opposite_of			
exact	RO:0002432	biolink:active_in			
exact	RO:0002263	biolink:acts_upstream_of			
exact	RO:0004034	biolink:acts_upstream_of_positive_effect			
exact	RO:0004035	biolink:acts_upstream_of_negative_effect			
exact	RO:0002264	biolink:acts_upstream_of_or_within			
exact	RO:0004032	biolink:acts_upstream_of_or_within_positive_effect			
exact	RO:0004033	biolink:acts_upstream_of_or_within_negative_effect			
exact	IAO:0000142	biolink:mentions			
narrow	SIO:000628	biolink:mentions			
exact	dct:contributor	biolink:contributor			
exact	dct:publisher	biolink:publisher			
exact	WIKIDATA_PROPERTY:P123	biolink:publisher			
exact	WIKIDATA_PROPERTY:P98	biolink:editor			
exact	dct:creator	biolink:author			
exact	WIKIDATA_PROPERTY:P50	biolink:author			
exact	SEMMEDDB:INTERACTS_WITH	biolink:interacts_with			
close	CHEMBL.MECHANISM:substrate	biolink:physically_interacts_with			
close	DRUGBANK:target	biolink:physically_interacts_with			
close	CHEMBL.MECHANISM:chelating_agent	biolink:physically_interacts_with			
close	CHEMBL.MECHANISM:sequestering_agent	biolink:physically_interacts_with			
close	CHEMBL.MECHANISM:oxidative_enzyme	biolink:physically_interacts_with			
close	CHEMBL.MECHANISM:cross-linking_agent	biolink:physically_interacts_with			
close	CHEMBL.MECHANISM:binding_agent	biolink:physically_interacts_with			
broad	WIKIDATA_PROPERTY:P129	biolink:physically_interacts_with			
narrow	DRUGBANK:drug-interaction	biolink:physically_interacts_with			
narrow	FMA:adheres_to	biolink:physically_interacts_with			
narrow	NCIT:A7	biolink:physically_interacts_with			
narrow	PR:non-covalently_bound_to	biolink:physically_interacts_with			
exact	RO:0002436	biolink:directly_physically_interacts_with			
broad	SIO:000203	biolink:directly_physically_interacts_with			
broad	RO:0002578	biolink:directly_physically_interacts_with			
narrow	PHAROS:drug_targets	biolink:directly_physically_interacts_with			
narrow	DRUGBANK:chelator	biolink:directly_physically_interacts_with			
narrow	CTD:affects_binding	biolink:directly_physically_interacts_with			
narrow	DGIdb:cofactor	biolink:directly_physically_interacts_with			
close	DGIdb:binder	biolink:binds			
exact	RO:0002435	biolink:genetically_interacts_with			
exact	SEMMEDDB:AFFECTS	biolink:affects			
exact	DGIdb:affects	biolink:affects			
narrow	NCIT:R102	biolink:affects			
narrow	NCIT:R23	biolink:affects			
narrow	NCIT:gene_mapped_to_disease	biolink:affects			
narrow	RO:0002343	biolink:affects			
narrow	RO:0002263	biolink:affects			
narrow	CTD:prediction_hypothesis	biolink:affects			
narrow	NCIT:R100	biolink:affects			
narrow	NCIT:R113	biolink:affects			
narrow	CTD:inferred	biolink:affects			
narrow	UBERGRAPH:is_increase_of	biolink:affects			
narrow	SNOMED:has_pathological_process	biolink:affects			
narrow	NCIT:R25	biolink:affects			
narrow	RO:0002355	biolink:affects			
narrow	NCIT:R160	biolink:affects			
narrow	NCIT:R133	biolink:affects			
narrow	NCIT:R150	biolink:affects			
narrow	RO:0012003	biolink:affects			
narrow	NCIT:R72	biolink:affects			
narrow	UBERGRAPH:is_decrease_of	biolink:affects			
narrow	NCIT:R158	biolink:affects			
narrow	NCIT:R101	biolink:affects			
narrow	NCIT:R173	biolink:affects			
narrow	RO:0002592	biolink:affects			
narrow	RO:0002264	biolink:affects			
narrow	NCIT:R124	biolink:affects			
narrow	UPHENO:0000001	biolink:affects			
narrow	RO:0002591	biolink:affects			
narrow	GOREL:0001006	biolink:affects			
narrow	NCIT:R30	biolink:affects			
narrow	NCIT:R146	biolink:affects			
broad	PATO:0000085	biolink:associated_with_sensitivity_to			
narrow	SNOMEDCT:418038007	biolink:associated_with_sensitivity_to			
exact	DrugCentral:5271	biolink:diagnoses			
exact	SEMMEDDB:DIAGNOSES	biolink:diagnoses			
close	NCIT:C15220	biolink:diagnoses			
close	SIO:001331	biolink:diagnoses			
exact	CHEBI:51086	biolink:chemical_role_mixin			
narrow	CHEBI:24432	biolink:biological_role_mixin			
exact	CTD:affects_response_to	biolink:affects_response_to			
exact	CTD:increases_response_to	biolink:increases_response_to			
exact	CTD:decreases_response_to	biolink:decreases_response_to			
narrow	CTD:decreases_response_to_substance	biolink:decreases_response_to			
exact	RO:0002448	biolink:regulates			
broad	WIKIDATA_PROPERTY:P128	biolink:regulates			
broad	RO:0002448	biolink:regulates			
broad	RO:0002332	biolink:regulates			
broad	CHEMBL.MECHANISM:modulator	biolink:regulates			
broad	RO:0002295	biolink:regulates			
exact	SEMMEDDB:DISRUPTS	biolink:disrupts			
exact	CHEMBL.MECHANISM:disrupting_agent	biolink:disrupts			
narrow	RO:0004024	biolink:disrupts			
narrow	RO:0004025	biolink:disrupts			
exact	RO:0002204	biolink:gene_product_of			
exact	RO:0002205	biolink:has_gene_product			
exact	WIKIDATA_PROPERTY:P688	biolink:has_gene_product			
exact	NCIT:gene_encodes_gene_product	biolink:has_gene_product			
close	PR:has_gene_template	biolink:has_gene_product			
narrow	NCIT:R178	biolink:has_gene_product			
exact	RO:0002511	biolink:transcribed_to			
exact	SIO:010080	biolink:transcribed_to			
exact	RO:0002510	biolink:transcribed_from			
exact	SIO:010081	biolink:transcribed_from			
close	RO:0002513	biolink:translates_to			
close	SIO:010082	biolink:translates_to			
close	RO:0002512	biolink:translation_of			
close	SIO:010083	biolink:translation_of			
exact	RO:HOM0000001	biolink:homologous_to			
exact	SIO:010302	biolink:homologous_to			
narrow	UBERON_CORE:sexually_homologous_to	biolink:homologous_to			
exact	RO:HOM0000011	biolink:paralogous_to			
exact	RO:HOM0000017	biolink:orthologous_to			
exact	WIKIDATA_PROPERTY:P684	biolink:orthologous_to			
exact	RO:HOM0000018	biolink:xenologous_to			
broad	SEMMEDDB:COEXISTS_WITH	biolink:coexists_with			
narrow	FMA:anterior_to	biolink:coexists_with			
narrow	FMA:merges_with	biolink:coexists_with			
narrow	FMA:afferent_to	biolink:coexists_with			
narrow	UBERON_CORE:indirectly_supplies	biolink:coexists_with			
narrow	FMA:anteroinferior_to	biolink:coexists_with			
narrow	FMA:connection_type_of	biolink:coexists_with			
narrow	FMA:superior_to	biolink:coexists_with			
narrow	UBERON:in_outermost_side_of	biolink:coexists_with			
narrow	FMA:has_full_grown_phenotype	biolink:coexists_with			
narrow	UBERON:proximally_connected_to	biolink:coexists_with			
narrow	UBERON:filtered_through	biolink:coexists_with			
narrow	UBERON:sexually_homologous_to	biolink:coexists_with			
narrow	FMA:segmental_composition_of	biolink:coexists_with			
narrow	SO:has_origin	biolink:coexists_with			
narrow	FMA:posterosuperior_to	biolink:coexists_with			
narrow	UBERON_CORE:transitively_connected_to	biolink:coexists_with			
narrow	FMA:receives_projection	biolink:coexists_with			
narrow	UBERON:in_innermost_side_of	biolink:coexists_with			
narrow	FMA:bounded_by	biolink:coexists_with			
narrow	UBERON:protects	biolink:coexists_with			
narrow	UBERON_CORE:synapsed_by	biolink:coexists_with			
narrow	FMA:has_segmental_supply	biolink:coexists_with			
narrow	UBERON:conduit_for	biolink:coexists_with			
narrow	UBERON_NONAMESPACE:distally_connected_to	biolink:coexists_with			
narrow	UBERON:indirectly_supplies	biolink:coexists_with			
narrow	FMA:matures_from	biolink:coexists_with			
narrow	FMA:has_direct_cell_shape	biolink:coexists_with			
narrow	FMA:projects_to	biolink:coexists_with			
narrow	BSPO:0015005	biolink:coexists_with			
narrow	FMA:anterosuperior_to	biolink:coexists_with			
narrow	BSPO:0000099	biolink:coexists_with			
narrow	FMA:left_medial_to	biolink:coexists_with			
narrow	FMA:has_segmental_composition	biolink:coexists_with			
narrow	FMA:proximal_to	biolink:coexists_with			
narrow	UBERON_CORE:filtered_through	biolink:coexists_with			
narrow	FMA:drains_into	biolink:coexists_with			
narrow	BSPO:0015008	biolink:coexists_with			
narrow	BSPO:0000110	biolink:coexists_with			
narrow	FMA:external_to	biolink:coexists_with			
narrow	UBERON_CORE:anastomoses_with	biolink:coexists_with			
narrow	UBERON:channels_into	biolink:coexists_with			
narrow	FMA:insertion_of	biolink:coexists_with			
narrow	FMA:full_grown_phenotype_of	biolink:coexists_with			
narrow	FMA:development_type_of	biolink:coexists_with			
narrow	FMA:sends_output_to	biolink:coexists_with			
narrow	FMA:has_adherent	biolink:coexists_with			
narrow	FMA:direct_left_of	biolink:coexists_with			
narrow	FMA:has_related_developmental_entity	biolink:coexists_with			
narrow	FMA:bounds	biolink:coexists_with			
