mapping_type	predicate	biolink_predicate	object_aspect_qualifier	object direction qualifier	qualified_predicate
exact	CTD:decreases_folding_of	biolink:affects	folding	decreased	biolink:causes
exact	CTD:affects_localization_of	biolink:affects	localization		
exact	GOREL:0002003	biolink:affects	localization		
exact	CTD:increases_localization_of	biolink:affects	localization	increased	biolink:causes
exact	CTD:decreases_localization_of	biolink:affects	localization	decreased	biolink:causes
exact	CTD:affects_molecular_modification_of	biolink:affects	molecular modification		
narrow	CTD:affects_carboxylation	biolink:affects	molecular modification		
narrow	CTD:affects_reduction	biolink:affects	molecular modification		
narrow	CTD:affects_O-linked_glycosylation	biolink:affects	molecular modification		
narrow	CTD:affects_nitrosation	biolink:affects	molecular modification		
narrow	CTD:affects_lipidation	biolink:affects	molecular modification		
narrow	CTD:affects_myristoylation	biolink:affects	molecular modification		
narrow	CTD:affects_prenylation	biolink:affects	molecular modification		
narrow	CTD:affects_alkylation	biolink:affects	molecular modification		
narrow	CTD:affects_acylation	biolink:affects	molecular modification		
narrow	CTD:affects_hydroxylation	biolink:affects	molecular modification		
narrow	CTD:affects_N-linked_glycosylation	biolink:affects	molecular modification		
narrow	CTD:affects_glucuronidation	biolink:affects	molecular modification		
narrow	CTD:affects_oxidation	biolink:affects	molecular modification		
narrow	CTD:affects_carbamoylation	biolink:affects	molecular modification		
narrow	CTD:affects_sulfation	biolink:affects	molecular modification		
narrow	CTD:affects_glycosylation	biolink:affects	molecular modification		
narrow	CTD:affects_farnesylation	biolink:affects	molecular modification		
narrow	CTD:affects_acetylation	biolink:affects	molecular modification		
narrow	CTD:affects_ribosylation	biolink:affects	molecular modification		
narrow	CTD:affects_palmitoylation	biolink:affects	molecular modification		
narrow	CTD:affects_amination	biolink:affects	molecular modification		
narrow	CTD:affects_geranoylation	biolink:affects	molecular modification		
narrow	CTD:affects_ubiquitination	biolink:affects	molecular modification		
narrow	CTD:affects_ethylation	biolink:affects	molecular modification		
narrow	CTD:affects_ADP-ribosylation	biolink:affects	molecular modification		
narrow	CTD:affects_phosphorylation	biolink:affects	molecular modification		
narrow	CTD:affects_sumoylation	biolink:affects	molecular modification		
narrow	CTD:affects_methylation	biolink:affects	molecular modification		
narrow	CTD:affects_glutathionylation	biolink:affects	molecular modification		
narrow	CTD:affects_nucleotidylation	biolink:affects	molecular modification		
narrow	CTD:affects_glycation	biolink:affects	molecular modification		
exact	CTD:increases_molecular_modification_of	biolink:affects	molecular modification	increased	biolink:causes
narrow	CTD:increases_methylation	biolink:affects	molecular modification	increased	biolink:causes
narrow	CTD:increases_amination	biolink:affects	molecular modification	increased	biolink:causes
narrow	CTD:increases_nucleotidylation	biolink:affects	molecular modification	increased	biolink:causes
narrow	CTD:increases_ethylation	biolink:affects	molecular modification	increased	biolink:causes
narrow	CTD:increases_ubiquitination	biolink:affects	molecular modification	increased	biolink:causes
narrow	CTD:increases_ribosylation	biolink:affects	molecular modification	increased	biolink:causes
narrow	GAMMA:acetylation	biolink:affects	molecular modification	increased	biolink:causes
narrow	CTD:increases_reduction	biolink:affects	molecular modification	increased	biolink:causes
narrow	CTD:increases_carbamoylation	biolink:affects	molecular modification	increased	biolink:causes
narrow	CTD:increases_geranoylation	biolink:affects	molecular modification	increased	biolink:causes
narrow	CTD:increases_acylation	biolink:affects	molecular modification	increased	biolink:causes
narrow	CTD:increases_N-linked_glycosylation	biolink:affects	molecular modification	increased	biolink:causes
narrow	CTD:increases_carboxylation	biolink:affects	molecular modification	increased	biolink:causes
narrow	CTD:increases_hydroxylation	biolink:affects	molecular modification	increased	biolink:causes
narrow	CTD:increases_phosphorylation	biolink:affects	molecular modification	increased	biolink:causes
narrow	CTD:increases_acetylation	biolink:affects	molecular modification	increased	biolink:causes
narrow	CTD:increases_sulfation	biolink:affects	molecular modification	increased	biolink:causes
narrow	CTD:increases_myristoylation	biolink:affects	molecular modification	increased	biolink:causes
narrow	CTD:increases_nitrosation	biolink:affects	molecular modification	increased	biolink:causes
narrow	CTD:increases_sumoylation	biolink:affects	molecular modification	increased	biolink:causes
narrow	CTD:increases_farnesylation	biolink:affects	molecular modification	increased	biolink:causes
narrow	CTD:increases_ADP-ribosylation	biolink:affects	molecular modification	increased	biolink:causes
narrow	CTD:increases_alkylation	biolink:affects	molecular modification	increased	biolink:causes
narrow	CTD:increases_palmitoylation	biolink:affects	molecular modification	increased	biolink:causes
narrow	CTD:increases_glucuronidation	biolink:affects	molecular modification	increased	biolink:causes
narrow	CTD:increases_glycation	biolink:affects	molecular modification	increased	biolink:causes
narrow	GAMMA:oxidizer	biolink:affects	molecular modification	increased	biolink:causes
narrow	CTD:increases_prenylation	biolink:affects	molecular modification	increased	biolink:causes
narrow	CTD:increases_glutathionylation	biolink:affects	molecular modification	increased	biolink:causes
narrow	CTD:increases_glycosylation	biolink:affects	molecular modification	increased	biolink:causes
narrow	CTD:increases_lipidation	biolink:affects	molecular modification	increased	biolink:causes
narrow	CTD:increases_O-linked_glycosylation	biolink:affects	molecular modification	increased	biolink:causes
narrow	CTD:increases_oxidation	biolink:affects	molecular modification	increased	biolink:causes
exact	CTD:decreases_molecular_modification_of	biolink:affects	molecular modification	decreased	biolink:causes
narrow	GAMMA:deoxidizer	biolink:affects	molecular modification	decreased	biolink:causes
narrow	CTD:decreases_carbamoylation	biolink:affects	molecular modification	decreased	biolink:causes
narrow	CTD:decreases_sulfation	biolink:affects	molecular modification	decreased	biolink:causes
narrow	CTD:decreases_ubiquitination	biolink:affects	molecular modification	decreased	biolink:causes
narrow	CTD:decreases_glycation	biolink:affects	molecular modification	decreased	biolink:causes
narrow	CTD:decreases_myristoylation	biolink:affects	molecular modification	decreased	biolink:causes
narrow	CTD:decreases_reduction	biolink:affects	molecular modification	decreased	biolink:causes
narrow	CTD:decreases_lipidation	biolink:affects	molecular modification	decreased	biolink:causes
narrow	CTD:decreases_amination	biolink:affects	molecular modification	decreased	biolink:causes
narrow	CTD:decreases_ribosylation	biolink:affects	molecular modification	decreased	biolink:causes
narrow	CTD:decreases_acetylation	biolink:affects	molecular modification	decreased	biolink:causes
narrow	CTD:decreases_N-linked_glycosylation	biolink:affects	molecular modification	decreased	biolink:causes
narrow	CTD:decreases_ethylation	biolink:affects	molecular modification	decreased	biolink:causes
narrow	CTD:decreases_geranoylation	biolink:affects	molecular modification	decreased	biolink:causes
narrow	CTD:decreases_palmitoylation	biolink:affects	molecular modification	decreased	biolink:causes
narrow	CTD:decreases_glutathionylation	biolink:affects	molecular modification	decreased	biolink:causes
narrow	CTD:decreases_oxidation	biolink:affects	molecular modification	decreased	biolink:causes
narrow	CTD:decreases_acylation	biolink:affects	molecular modification	decreased	biolink:causes
narrow	CTD:decreases_nucleotidylation	biolink:affects	molecular modification	decreased	biolink:causes
narrow	CTD:decreases_methylation	biolink:affects	molecular modification	decreased	biolink:causes
narrow	CTD:decreases_nitrosation	biolink:affects	molecular modification	decreased	biolink:causes
narrow	CTD:decreases_sumoylation	biolink:affects	molecular modification	decreased	biolink:causes
narrow	CTD:decreases_O-linked_glycosylation	biolink:affects	molecular modification	decreased	biolink:causes
narrow	CTD:decreases_phosphorylation	biolink:affects	molecular modification	decreased	biolink:causes
narrow	CTD:decreases_hydroxylation	biolink:affects	molecular modification	decreased	biolink:causes
narrow	CTD:decreases_ADP-ribosylation	biolink:affects	molecular modification	decreased	biolink:causes
narrow	CTD:decreases_prenylation	biolink:affects	molecular modification	decreased	biolink:causes
narrow	CTD:decreases_carboxylation	biolink:affects	molecular modification	decreased	biolink:causes
narrow	CTD:decreases_glucuronidation	biolink:affects	molecular modification	decreased	biolink:causes
narrow	CTD:decreases_glycosylation	biolink:affects	molecular modification	decreased	biolink:causes
narrow	CTD:decreases_farnesylation	biolink:affects	molecular modification	decreased	biolink:causes
narrow	CTD:decreases_alkylation	biolink:affects	molecular modification	decreased	biolink:causes
exact	CTD:affects_metabolic_processing_of	biolink:affects	metabolic processing		
exact	CTD:increases_metabolic_processing_of	biolink:affects	metabolic processing	increased	biolink:causes
exact	CTD:decreases_metabolic_processing_of	biolink:affects	metabolic processing	decreased	biolink:causes
exact	CTD:affects_synthesis_of	biolink:affects	synthesis		
exact	CTD:increases_synthesis_of	biolink:affects	synthesis	increased	biolink:causes
exact	CTD:decreases_synthesis_of	biolink:affects	synthesis	decreased	biolink:causes
exact	CTD:affects_transport_of	biolink:affects	transport		
exact	CTD:increases_transport_of	biolink:affects	transport	increased	biolink:causes
narrow	RO:0002313	biolink:affects	transport	increased	biolink:causes
narrow	GAMMA:transporter	biolink:affects	transport	increased	biolink:causes
narrow	RO:0002340	biolink:affects	transport	increased	biolink:causes
narrow	GAMMA:carrier	biolink:affects	transport	increased	biolink:causes
narrow	RO:0002345	biolink:affects	transport	increased	biolink:causes
exact	CTD:decreases_transport_of	biolink:affects	transport	decreased	biolink:causes
exact	CTD:affects_degradation_of	biolink:affects	degradation		
exact	CTD:increases_degradation_of	biolink:affects	degradation	increased	biolink:causes
exact	CTD:increases_cleavage	biolink:affects	degradation	increased	biolink:causes
exact	CTD:increases_hydrolysis	biolink:affects	degradation	increased	biolink:causes
exact	GOREL:0002004	biolink:affects	degradation	increased	biolink:causes
exact	CTD:decreases_degradation_of	biolink:affects	degradation	decreased	biolink:causes
exact	CTD:decreases_cleavage	biolink:affects	degradation	decreased	biolink:causes
exact	CTD:decreases_hydrolysis	biolink:affects	degradation	decreased	biolink:causes
exact	CTD:affects_secretion_of	biolink:affects	secretion		
broad	CTD:affects_export	biolink:affects	secretion		
exact	CTD:increases_secretion_of	biolink:affects	secretion	increased	biolink:causes
exact	CTD:decreases_secretion_of	biolink:affects	secretion	decreased	biolink:causes
exact	CTD:affects_mutation_rate_of	biolink:affects	mutation rate		
exact	CTD:increases_mutation_rate_of	biolink:affects	mutation rate	increased	biolink:causes
exact	CTD:increases_mutagenesis	biolink:affects	mutation rate	increased	biolink:causes
exact	CTD:decreases_mutation_rate_of	biolink:affects	mutation rate	decreased	biolink:causes
exact	CTD:decreases_mutagenesis	biolink:affects	mutation rate	decreased	biolink:causes
exact	CTD:affects_splicing_of	biolink:affects	splicing		
exact	CTD:increases_splicing_of	biolink:affects	splicing	increased	biolink:causes
exact	CTD:increases_RNA_splicing	biolink:affects	splicing	increased	biolink:causes
exact	CTD:decreases_splicing_of	biolink:affects	splicing	decreased	biolink:causes
exact	CTD:decreases_RNA_splicing	biolink:affects	splicing	decreased	biolink:causes
exact	CTD:affects_splicing_of	biolink:affects	splicing		
exact	CTD:increases_splicing_of	biolink:affects	splicing	increased	biolink:causes
exact	CTD:decreases_splicing_of	biolink:affects	splicing	decreased	biolink:causes
exact	CTD:affects_secretion_of	biolink:affects	secretion		
exact	CTD:increases_secretion_of	biolink:affects	secretion	increased	biolink:causes
exact	CTD:decreases_secretion_of	biolink:affects	secretion	decreased	biolink:causes
exact	CTD:affects_uptake_of	biolink:affects	uptake		
broad	CTD:affects_import	biolink:affects	uptake		
exact	CTD:increases_uptake_of	biolink:affects	uptake	increased	biolink:causes
broad	CTD:increases_import	biolink:affects	uptake	increased	biolink:causes
exact	CTD:decreases_uptake_of	biolink:affects	uptake	decreased	biolink:causes
broad	CTD:decreases_import	biolink:affects	uptake	decreased	biolink:causes
exact	CTD:affects_molecular_interaction	biolink:affects	molecular interaction		
exact	CTD:increases_molecular_interaction	biolink:affects	molecular interaction	increased	biolink:causes
exact	CTD:decreases_molecular_interaction	biolink:affects	molecular interaction	decreased	biolink:causes
exact	RO:0002212	biolink:regulates		downregulated	
exact	RO:0002449	biolink:regulates		downregulated	
exact	RO:0002450	biolink:regulates		upregulated	
exact	RO:0002213	biolink:regulates		upregulated	
exact	RO:0002212	biolink:regulates		downregulated	
exact	RO:0002305	biolink:regulates		downregulated	
exact	RO:0002304	biolink:regulates		upregulated	
